name,slug,category,description,price,compare_at_price,weight,telugu,heat,sku,stock,image,bestseller,featured
Avakaya Mango Pickle,avakaya-mango-pickle,pickles,"The legendary Andhra mango pickle — raw mango chunks slow-soaked in mustard, garlic and Guntur red chilli oil. Fierce, oily and unapologetically bold.",349.00,399.00,500 g,ఆవకాయ,5,PKL-AVK-500,100,https://images.pexels.com/photos/8599631/pexels-photo-8599631.jpeg?auto=compress&cs=tinysrgb&w=1200,true,true
Gongura Pachadi,gongura-pachadi,pickles,"Tangy gongura (sorrel) leaves stone-pounded with red chillies, garlic and sesame — Andhra's most loved leafy pickle. Sharp, sour and deeply savoury.",329.00,,500 g,గోంగూర పచ్చడి,4,PKL-GNG-500,100,https://images.pexels.com/photos/7113859/pexels-photo-7113859.jpeg?auto=compress&cs=tinysrgb&w=1200,true,false
Pandu Mirchi Nilava Pachadi,pandu-mirchi-nilava-pachadi,pickles,"Fiery whole ripe-red chilli pickle, sun-cured in cold-pressed sesame oil with mustard and fenugreek. A spoonful is enough to light up a plate of hot rice.",379.00,,500 g,పండు మిర్చి నిలవ పచ్చడి,5,PKL-PDM-500,100,https://images.pexels.com/photos/32522189/pexels-photo-32522189.jpeg?auto=compress&cs=tinysrgb&w=1200,true,false
Tomato Pachadi,tomato-pachadi,pickles,"Slow-cooked ripe tomatoes tempered with mustard, curry leaves and red chilli. Mellow, tangy and comforting — a gentler entry into Andhra pickles.",299.00,,500 g,టమాటా పచ్చడి,3,PKL-TMT-500,100,https://images.pexels.com/photos/12737917/pexels-photo-12737917.jpeg?auto=compress&cs=tinysrgb&w=1200,false,false
Usirikaya Amla Pickle,usirikaya-amla-pickle,pickles,"Gooseberry (amla) pickle pounded with mustard and chilli — bracingly sour, lightly bitter and full of goodness. A traditional winter favourite.",319.00,,500 g,ఉసిరికాయ పచ్చడి,3,PKL-USK-500,100,https://images.pexels.com/photos/8599636/pexels-photo-8599636.jpeg?auto=compress&cs=tinysrgb&w=1200,false,false
Nimmakaya Lemon Pickle,nimmakaya-lemon-pickle,pickles,"Sun-matured lemon pickle with salt, fenugreek and red chilli — bright, zesty and tangy. Softens beautifully over weeks of curing.",289.00,,500 g,నిమ్మకాయ పచ్చడి,2,PKL-NMK-500,100,https://images.pexels.com/photos/6220707/pexels-photo-6220707.jpeg?auto=compress&cs=tinysrgb&w=1200,false,false
Guntur Mirchi Karam,guntur-mirchi-karam,karam,"Pure stone-ground Guntur red chilli powder — deep red colour, sharp aroma and unmistakable Andhra heat. The backbone of every Andhra kitchen.",269.00,299.00,500 g,గుంటూరు మిర్చి కారం,5,KRM-GNT-500,150,https://images.pexels.com/photos/4198417/pexels-photo-4198417.jpeg?auto=compress&cs=tinysrgb&w=1200,true,true
Vellulli Karam,vellulli-karam,karam,"Garlic-rich karam podi — pounded with toasted chillies, garlic and salt. Spoon it over hot rice with a drizzle of ghee. Pungent and addictive.",249.00,,250 g,వెల్లుల్లి కారం,4,KRM-VEL-250,120,https://images.pexels.com/photos/8185493/pexels-photo-8185493.jpeg?auto=compress&cs=tinysrgb&w=1200,true,false
Idli Karam Podi,idli-karam-podi,karam,"Classic idli podi — roasted lentils, sesame and red chilli ground into a fragrant, spicy powder. The perfect partner for idli, dosa and ghee rice.",229.00,,250 g,ఇడ్లి కారప్పొడి,3,KRM-IDL-250,100,https://images.pexels.com/photos/33440714/pexels-photo-33440714.jpeg?auto=compress&cs=tinysrgb&w=1200,false,false
Kandi Podi,kandi-podi,karam,"Toor dal podi — slow-roasted lentils with cumin, garlic and a whisper of chilli. Mild, nutty and wholesome; loved by kids and elders alike.",239.00,,250 g,కంది పొడి,2,KRM-KND-250,100,https://images.pexels.com/photos/15107600/pexels-photo-15107600.jpeg?auto=compress&cs=tinysrgb&w=1200,false,false
Kobbari Karam,kobbari-karam,karam,"Dry coconut podi — roasted coconut, chilli and tamarind ground into a sweet-spicy powder. Sprinkle over rice, dosa or upma for instant flavour.",229.00,,250 g,కొబ్బరి కారం,2,KRM-KOB-250,100,https://images.pexels.com/photos/4871244/pexels-photo-4871244.jpeg?auto=compress&cs=tinysrgb&w=1200,false,false
Sambar Podi,sambar-podi,karam,"Slow-roasted lentils, coriander seed and chilli — a fragrant blend that builds restaurant-style sambar at home. Aromatic, balanced and warming.",399.00,,500 g,సాంబార్ పొడి,3,KRM-SMB-500,100,https://images.pexels.com/photos/8474070/pexels-photo-8474070.jpeg?auto=compress&cs=tinysrgb&w=1200,false,false
